iter	RMSE
0	1324.986768
1	1231.667956
2	1156.623587
3	1085.921315
4	1029.333334
5	980.9097798
6	930.8630746
7	892.43552
8	863.4690799
9	832.0895217
10	807.7476442
11	785.2635011
12	765.150848
13	745.4516401
14	726.8047043
15	711.5090375
16	697.7807116
17	684.4969141
18	671.0361184
19	655.5793219
20	641.8383642
21	630.8636608
22	620.1861664
23	610.452344
24	601.0116193
25	594.7908808
26	589.934073
27	583.8053416
28	579.2262713
29	572.7054485
30	565.5012388
31	561.177476
32	554.0101073
33	546.6475512
34	542.3850683
35	535.6733365
36	531.5108775
37	526.2473804
38	523.7610881
39	520.457847
40	517.2660978
41	512.6796689
42	508.343075
43	506.2104586
44	503.8450347
45	500.8308399
46	497.0798275
47	493.4673988
48	490.6764032
49	489.2815972
50	486.2407361
51	482.4669222
52	478.7986484
53	475.9291569
54	472.7096337
55	470.3655262
56	467.6351115
57	465.5021599
58	462.6106545
59	460.3354299
60	458.114256
61	456.9216896
62	454.2415521
63	451.4118715
64	448.4669433
65	447.2478861
66	443.9094484
67	441.7795228
68	439.9540196
69	438.7154367
70	436.8722305
71	434.9231133
72	433.2955797
73	432.3573941
74	429.9796378
75	428.6906541
76	427.1703589
77	425.5594871
78	423.9013858
79	422.9134655
80	421.4943951
81	419.4608561
82	418.6610037
83	417.2668964
84	415.411234
85	413.8745802
86	411.841857
87	410.12495
88	408.7197636
89	407.1793428
90	405.9668539
91	404.3921494
92	403.1146598
93	401.1820783
94	400.1156195
95	398.5342805
96	396.3652247
97	395.0321307
98	393.8393034
99	393.087024
100	391.6945894
101	389.7306194
102	388.1949609
103	386.9374335
104	385.7938709
105	384.698969
106	383.361373
107	382.6535889
108	380.9184831
109	380.0465812
110	379.2632833
111	377.7800241
112	376.5831717
113	375.4077214
114	374.440097
115	373.581492
116	372.2812288
117	371.2047159
118	370.353664
119	369.5745077
120	367.828617
121	367.1177872
122	366.5962115
123	365.4504621
124	364.6973757
125	363.8291997
126	363.0730072
127	362.1047785
128	361.282922
129	360.5240581
130	359.8769676
131	359.1693342
132	358.4715673
133	357.7637167
134	357.0414147
135	356.6435926
136	356.2383798
137	355.6546633
138	354.4913392
139	353.9879071
140	352.6954592
141	351.8993537
142	351.0797574
143	350.2766601
144	349.8352639
145	349.3782968
146	348.9024532
147	348.1507083
148	346.9037886
149	346.5066134
150	345.9020503
151	345.3131645
152	344.073277
153	343.5318296
154	343.1237621
155	342.3114412
