iter	Passed	Remaining
0	17	8699
1	29	7326
2	41	6799
3	51	6404
4	63	6255
5	74	6133
6	84	5978
7	96	5909
8	106	5821
9	120	5886
10	130	5786
11	140	5723
12	150	5626
13	161	5606
14	171	5551
15	182	5521
16	193	5485
17	204	5479
18	218	5526
19	233	5597
20	244	5577
21	256	5565
22	267	5538
23	276	5489
24	288	5479
25	298	5445
26	309	5414
27	318	5369
28	332	5400
29	343	5380
30	354	5369
31	364	5336
32	375	5312
33	386	5295
34	396	5272
35	408	5260
36	420	5263
37	431	5250
38	442	5233
39	453	5213
40	464	5200
41	477	5207
42	488	5188
43	498	5163
44	509	5152
45	518	5119
46	529	5105
47	541	5094
48	551	5078
49	562	5059
50	574	5059
51	585	5044
52	596	5027
53	608	5022
54	619	5010
55	630	4997
56	641	4984
57	652	4971
58	664	4968
59	675	4952
60	687	4946
61	697	4930
62	708	4913
63	723	4927
64	734	4913
65	745	4904
66	755	4885
67	767	4874
68	777	4855
69	787	4838
70	797	4820
71	814	4839
72	837	4897
73	851	4900
74	867	4914
75	883	4929
76	895	4919
77	906	4904
78	918	4892
79	928	4876
80	942	4877
81	957	4881
82	968	4867
83	983	4868
84	997	4870
85	1012	4875
86	1027	4878
87	1043	4887
88	1058	4888
89	1072	4885
90	1084	4874
91	1098	4871
92	1111	4865
93	1126	4864
94	1141	4864
95	1155	4864
96	1170	4862
97	1181	4847
98	1194	4840
99	1206	4827
100	1220	4819
101	1233	4813
102	1247	4808
103	1260	4799
104	1272	4785
105	1285	4776
106	1298	4767
107	1309	4753
108	1322	4743
109	1337	4742
110	1349	4729
111	1360	4711
112	1372	4700
113	1383	4685
114	1395	4670
115	1405	4651
116	1416	4637
117	1426	4618
118	1437	4602
119	1448	4586
120	1460	4574
121	1471	4558
122	1481	4542
123	1494	4530
124	1504	4514
125	1517	4503
126	1528	4489
127	1539	4472
128	1550	4460
129	1561	4445
130	1572	4428
131	1583	4414
132	1593	4397
133	1603	4380
134	1615	4368
135	1626	4353
136	1639	4343
137	1649	4328
138	1661	4314
139	1673	4303
140	1685	4290
141	1696	4276
142	1707	4262
143	1718	4248
144	1730	4236
145	1740	4220
146	1753	4210
147	1767	4204
148	1780	4193
149	1791	4179
150	1802	4165
151	1815	4157
